name,vendor,url,population,ags,wikidata_item,website,pages_visited,time
Springe,,,28918,03241017,http://www.wikidata.org/entity/Q622891,https://www.springe.de/,21,83.79727359488606
Blaustein,,,15965,08425141,http://www.wikidata.org/entity/Q535646,https://www.blaustein.de/,17,100.02194417268038
Bous,cc-egov,http://www.bous.sitzung-online.de/bi/allris.net.asp,7087,10044122,http://www.wikidata.org/entity/Q630080,http://www.bous.de/,5,28.67208820208907
Aßling,,,4532,09175112,http://www.wikidata.org/entity/Q512844,http://www.assling.de/,10,61.084711400792
Schwarzerden,,,335,07133205,http://www.wikidata.org/entity/Q630040,http://www.kirn-land.de,7,44.13319184631109
Kißlegg,,,8914,08436052,http://www.wikidata.org/entity/Q705800,http://www.kisslegg.de,12,59.213637702167034
Olching,somacos,https://www.olching.de/sessionnet/bi/infobi.php,27592,09179142,http://www.wikidata.org/entity/Q178486,http://www.olching.de,7,68.27324912883341
Gechingen,,,4039,08235029,http://www.wikidata.org/entity/Q266250,http://www.gechingen.de,22,102.83357726968825
Wietmarschen,,,12166,03456025,http://www.wikidata.org/entity/Q556086,https://www.wietmarschen.de/,4,24.46171829663217
Eitting,,,2822,09177116,http://www.wikidata.org/entity/Q513542,http://www.eitting.de/,7,40.648394983261824
Petershausen,somacos,https://buergerinfo-petershausen.livingdata.de/infobi.asp,6549,09174136,http://www.wikidata.org/entity/Q533046,http://www.petershausen.de,8,55.46578479371965
Wienhausen,cc-egov,https://www.sitzungsdienst-flotwedel.de/bi2/si010_e.asp,4124,03351022,http://www.wikidata.org/entity/Q566292,http://www.flotwedel.de/,16,70.69460649602115
Eggstätt,,,2935,09187125,http://www.wikidata.org/entity/Q551667,http://www.eggstaett.de/,7,41.76805607602
Niederraden,more!rubin,https://neuerburg.more-rubin1.de/,68,07232090,http://www.wikidata.org/entity/Q567296,http://www.suedeifelinfo.de,3,11.101998567581177
Vilsbiburg,kommuna,https://ris.komuna.net/vilsbiburg/,11832,09274184,http://www.wikidata.org/entity/Q521018,http://www.vilsbiburg.de,2,27.893537463620305
